0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:07 +0200] "GET /Ej06_Selenium/www.google.com HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:11 +0200] "GET /Ej06_Selenium/pagina.html HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:14 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:14 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:59 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:25:43 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:26:07 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:26:17 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:29:23 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:07 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:09 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:09 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:09 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:10 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:10 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:10 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:10 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:30:30 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:31:18 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:31:18 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:31:18 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:31:18 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:31:58 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [29/Mar/2020:19:32:15 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4785
